# HELP http_request_duration_seconds Api requests response time in seconds
# TYPE http_request_duration_seconds histogram
http_request_duration_seconds_sum{api="login", instance="digikala"} 895333.332
http_request_duration_seconds_count{api="login" instance="digikala"} 27892
http_request_duration_seconds_bucket{api="login" instance="digikala", le="0"} 0
http_request_duration_seconds_bucket{api="login", instance="digikala", le="0.01"} 0
http_request_duration_seconds_bucket{api="login", instance="digikala", le="0.025"} 8
http_request_duration_seconds_bucket{api="login", instance="digikala", le="0.05"} 1672
http_request_duration_seconds_bucket{api="login", instance="digikala", le="0.1"} 8954
http_request_duration_seconds_bucket{api="login", instance="digikala", le="0.25"} 14251
http_request_duration_seconds_bucket{api="login", instance="digikala", le="0.5"} 24101
http_request_duration_seconds_bucket{api="login", instance="digikala", le="1"} 26351
http_request_duration_seconds_bucket{api="login", instance="digikala", le="2.5"} 27534
http_request_duration_seconds_bucket{api="login", instance="digikala", le="5"} 27814
http_request_duration_seconds_bucket{api="login", instance="digikala", le="10"} 27881
http_request_duration_seconds_bucket{api="login", instance="digikala", le="25"} 27890
http_request_duration_seconds_bucket{api="login", instance="digikala", le="+Inf"} 27892
